[03:19:29] [ServerMain/ERROR]: Failed to load properties from file: server.properties
java.nio.file.NoSuchFileException: server.properties
	at sun.nio.fs.UnixException.translateToIOException(UnixException.java:92) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:106) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:111) ~[?:?]
	at sun.nio.fs.UnixFileSystemProvider.newByteChannel(UnixFileSystemProvider.java:261) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:379) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:431) ~[?:?]
	at java.nio.file.spi.FileSystemProvider.newInputStream(FileSystemProvider.java:420) ~[?:?]
	at java.nio.file.Files.newInputStream(Files.java:159) ~[?:?]
	at ahi.b(SourceFile:62) ~[server-1.20.1.jar:?]
	at ahf.a(SourceFile:137) ~[server-1.20.1.jar:?]
	at ahg.<init>(SourceFile:12) ~[server-1.20.1.jar:?]
	at net.minecraft.server.Main.main(SourceFile:115) ~[server-1.20.1.jar:?]
	at net.minecraft.bundler.Main.lambda$run$0(Main.java:54) ~[?:?]
	at java.lang.Thread.run(Thread.java:1583) ~[?:?]
[03:19:29] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[03:19:32] [ServerMain/INFO]: Loaded 7 recipes
[03:19:32] [ServerMain/INFO]: Loaded 1271 advancements
[03:19:32] [Server thread/INFO]: Starting minecraft server version 1.20.1
[03:19:32] [Server thread/INFO]: Loading properties
[03:19:32] [Server thread/INFO]: Default game type: SURVIVAL
[03:19:32] [Server thread/INFO]: Generating keypair
[03:19:33] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:19:33] [Server thread/INFO]: Using epoll channel type
[03:19:33] [Server thread/INFO]: Preparing level "world"
[03:20:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:20:30] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[03:20:31] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[03:20:31] [Worker-Main-1/INFO]: Preparing spawn area: 54%
[03:20:33] [Server thread/INFO]: Time elapsed: 48247 ms
[03:20:33] [Server thread/INFO]: Done (59.928s)! For help, type "help"
[03:23:07] [Server thread/INFO]: Stopping server
